objectid,subject,discipline,format,filename,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,headline,title,description,AKADBA,ADSTREET,ADCITY,ADZIP,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,WEBURL,INCOMECD15,INCOME15,REVENUE15,date,month,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP5,
8403601906,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,223807606,,B03,,712110,WOMEN DIVERS HALL OF FAME,WOMEN DIVERS HALL OF FAME,WOMEN DIVERS HALL OF FAME INC,,43 MACKEY AVE,PRT WASHINGTN,11050-3628,,,,,,,3,49342,35639,2002,10,-73.69016,40.82735,43 MACKEY AVE,PRT WASHINGT,NY,11050,
8402500739,HST,History Museum,image/jpeg,demo_001.jpg,061714258,,A54,,712110,WOMEN AT WORK MUSEUM,WOMEN AT WORK MUSEUM,WOMEN AT WORK MUSEUM INC,,PO BOX 355,ATTLEBORO,02703-0006,,35 COUNTY STREE,ATTLEBORO,MA,02703,HTTP://WWW.WOMENATWORKMUSEUM.ORG,0,0,0,2005,05,-71.28549294,41.94411193,35 COUNTY STREE,ATTLEBORO,MA,02703,
8409400766,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,,,,,,WOMEN & THEIR WORK ART GALLERY,WOMEN & THEIR WORK ART GALLERY,WOMEN & THEIR WORK ART GALLERY,,1710 LAVACA ST.,AUSTIN,78701,,,,,,,,,,1978,,-97.74139,30.2799,1710 LAVACA ST.,AUSTIN,TX,78701,
8402500558,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,043489727,,A80,,712120,VALLEY WOMEN'S HISTORY COLLABORATIVE,VALLEY WOMEN'S HISTORY COLLABORATIVE,VALLEY WOMEN'S HISTORY COLLABORATIVE INC,,75 HILLSIDE RD,SOUTH DEERFIELD,01373-9710,,,,,,HTTP://VWHC.ORG/,0,0,0,2012,02,-72.51371,42.37676,20 TRIANGLE ST,AMHERST,MA,01002,
8404801050,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,741894117,,A82,,,TEXAS FEDERATION OF WOMEN'S CLUBS MANSION,TEXAS FEDERATION OF WOMEN'S CLUBS MANSION,TEXAS FEDERATION OF WOMEN'S CLUBS HISTORICAL FOUNDATION,TEXAS FEDERATION OF WOMENS CLUBS HISTORICAL FOUNDATION,2312 SAN GABRIEL ST,AUSTIN,78705-5014,,,,,,HTTP://THEMANSION.INFO/,5,624285,624285,1977,02,-97.74833,30.28789,2312 SAN GABRIEL ST,AUSTIN,TX,78705,
8404801198,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,742604939,,P80,,712110,SAN ANTONIO WOMEN'S CELEBRATION AND HALL OF FAME,SAN ANTONIO WOMEN'S CELEBRATION AND HALL OF FAME,SAN ANTONIO WOMEN'S CELEBRATION AND HALL OF FAME,,PO BOX 461104,SAN ANTONIO,78246-1104,,,,,,,0,0,0,2009,11,-98.4862,29.53529,PO BOX 461104,SAN ANTONIO,TX,78246,
8401700461,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,263731595,,A80,,712120,PORTRAITS OF GREAT AMERICAN WOMEN ACHIEVERS,PORTRAITS OF GREAT AMERICAN WOMEN ACHIEVERS,PORTRAITS OF GREAT AMERICAN WOMEN ACHIEVERS INC,,2706 W 85TH PLACE,CHICAGO,60652-3920,,,,,,,0,0,0,2009,03,-87.69064,41.73864,2706 W 85TH PL,CHICAGO,IL,60652,
8404201522,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,300648357,,A50,,712110,PENNSYLVANIA WOMEN'S HALL OF ACHIEVEMENT,PENNSYLVANIA WOMEN'S HALL OF ACHIEVEMENT,PENNSYLVANIA WOMEN'S HALL OF ACHIEVEMENT,,1527 BALLINGER ST,PITTSBURGH,15210-3401,,,,,,,0,0,0,2013,03,-80.0028,40.40068,1527 BALLINGER ST,PITTSBURGH,PA,15210,
8404100213,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,273461105,,A80,,712120,OREGON WOMEN'S HISTORY CONSORTIUM,OREGON WOMEN'S HISTORY CONSORTIUM,OREGON WOMEN'S HISTORY CONSORTIUM INC,,3744 SE 74TH AVE,PORTLAND,97206-2436,,,,,,,0,0,0,2011,03,-122.65459,45.54152,2603 NE 11TH AVE,PORTLAND,OR,97212,
8401800546,SCI,Science & Technology Museums & Planetarium,image/jpeg,demo_001.jpg,352008905,,A57,,712110,NORTHWEST INDIANA WOMEN'S MUSEUM OF GARY INDIANA,NORTHWEST INDIANA WOMEN'S MUSEUM OF GARY INDIANA,NORTHWEST INDIANA WOMEN'S MUSEUM OF GARY INDIANA,,1132 FILLMORE ST,GARY,46407-1109,,,,,,,0,0,0,1998,08,-87.35065,41.59129,1132 FILLMORE ST,GARY,IN,46407,
8400602122,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,900812586,,A80,,712120,NIKKEI WOMEN LEGACY ASSOCIATION,NIKKEI WOMEN LEGACY ASSOCIATION,NIKKEI WOMEN LEGACY ASSOCIATION,,11338 SUNSHINE TERRACE,STUDIO CITY,91604-3125,,,,,,,0,0,0,2012,09,-118.36408,33.81729,4718 VANDERHILL RD,TORRANCE,CA,90505,
8403500136,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,311603780,,T11,,712110,NEW MEXICO WOMEN IN THE ARTS,NEW MEXICO WOMEN IN THE ARTS,NEW MEXICO COMMITTEE OF THE NATIONAL MUSEUM OF WOMEN IN THE ARTS,NEW MEXICO COMMITTEE OF THE NATIONAL MUSEUM OF WOMEN IN THE ARTS,PO BOX 31314,SANTA FE,87594-8759,PO BOX 31314,SANTA FE,NM,87594-8759,87594,HTTP://NEWMEXICOWOMENINTHEARTS.ORG,0,0,0,1998,10,-105.94854,35.69316,PO BOX 31314,SANTA FE,NM,87594,
8403200102,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,461969895,,A82,,,NEVADA WOMEN'S HISTORY PROJECT,NEVADA WOMEN'S HISTORY PROJECT,NEVADA WOMEN'S HISTORY PROJECT,,770 SMITHRIDGE DR,RENO,89502-0708,,,,,,HTTP://NEVADAWOMENSFUND.ORG/,0,0,0,2013,09,-119.78677,39.47938,770 SMITHRIDGE DR STE 30,RENO,NV,89502,
8405100810,HST,History Museum,image/jpeg,demo_001.jpg,541801426,,A54,107249190,712110,NATIONAL WOMEN'S HISTORY MUSEUM,NATIONAL WOMEN'S HISTORY MUSEUM,NATIONAL WOMEN'S HISTORY MUSEUM,,205 S WHITING ST STE 254,ALEXANDRIA,22304-3693,,,,,,HTTPS://WWW.NWHM.ORG/,6,1572165,1503932,1997,02,-77.1373,38.81278,205 S WHITING ST STE 254,ALEXANDRIA,VA,22304,
8403601916,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,237042891,,A50,101316198,712110,NATIONAL WOMEN'S HALL OF FAME,NATIONAL WOMEN'S HALL OF FAME,NATIONAL WOMEN'S HALL OF FAME,,76 FALL ST,SENECA FALLS,13148-1409,76 FALL STREETPO BOX 335,SENECA FALLS,NY,13148-1409,13148,HTTP://WWW.WOMENOFTHEHALL.ORG/,5,513655,499321,1969,00,-76.79261,42.90745,76 FALL STREETPO BOX 335,SENECA FALLS,NY,13148,
8401100142,ART,Art Museum,image/jpeg,demo_001.jpg,521238810,,A51,107940132,712110,NATIONAL MUSEUM OF WOMEN IN THE ARTS,NATIONAL MUSEUM OF WOMEN IN THE ARTS,NATIONAL MUSEUM OF WOMEN IN THE ARTS INC,,1250 NEW YORK AVE NW,WASHINGTON,20005-3970,,,,,,HTTP://NMWA.ORG/,7,9848036,6472816,1982,03,-77.02883,38.90038,1250 NEW YORK AVE NW,WASHINGTON,DC,20005,
8403600973,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,134099288,,A54,124690913,,MUSEUM WOMEN HISTORY LEADERSHIP CENTER,MUSEUM WOMEN HISTORY LEADERSHIP CENTER,MUSEUM WOMEN HISTORY LEADERSHIP CENTER,,PO BOX 899,NEW YORK,10163-0899,,,,,,,,,,,,-73.94293,40.68836,PO BOX 899,NEW YORK,NY,10163,
8403000251,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,810503254,,A50,038688789,712110,MUSEUM OF WOMEN'S HISTORY,MUSEUM OF WOMEN'S HISTORY,MUSEUM OF WOMEN'S HISTORY,,2822 3RD AVENUE NORTH B-3,BILLINGS,59101-1934,,,,,,,0,0,0,1996,03,-108.50769,45.7836,2822 3RD AVENUE NORTH B-,BILLINGS,MT,59101,
8400602003,ART,Art Museum,image/jpeg,demo_001.jpg,770429034,,A51,,712110,MONTEREY BAY WOMEN'S CAUCUS FOR ART,MONTEREY BAY WOMEN'S CAUCUS FOR ART,MONTEREY BAY WOMEN'S CAUCUS FOR ART,,PO BOX 283,AROMAS,95004-0283,,,,,,,0,0,0,1996,11,-121.63906,36.87746,PO BOX 283,AROMAS,CA,95004,
8402400155,HST,History Museum,image/jpeg,demo_001.jpg,201166317,,A54,,712110,MARYLAND WOMEN'S HERITAGE CENTER AND MUSEUM,MARYLAND WOMEN'S HERITAGE CENTER AND MUSEUM,MARYLAND WOMEN'S HERITAGE CENTER AND MUSEUM INC,,10881 SANDRINGHAM RD,COCKEYSVILLE,21046,10881 SANDRINGHAM RD,COCKEYSVILLE,MD,21046,21046,,4,174063,173559,2005,03,-76.60545,39.48526,10881 SANDRINGHAM RD,COCKEYSVILLE,MD,21046,
8400601699,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,680190023,,P27,,712110,MARIN WOMEN'S HALL OF FAME,MARIN WOMEN'S HALL OF FAME,THE CENTER FOR EXCELLENCE,,PO BOX 4142,SAN RAFAEL,94913-4142,940 POWELL STREET,SAN FRANCISCO,CA,94913-4142,94913,,0,0,0,1989,10,-122.40941,37.79363,940 POWELL STREET,SAN FRANCISCO,CA,94913,
8403901284,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,351772560,,A82,,712120,JOURNAL OF WOMEN'S HISTORY,JOURNAL OF WOMEN'S HISTORY,JOURNAL OF WOMEN'S HISTORY INC,,6209 BROWN RD,OXFORD,45056-8833,,,,,,,3,74995,74995,1989,08,-84.75207,39.53296,6209 BROWN RD,OXFORD,OH,45056,
8403900528,HST,History Museum,image/jpeg,demo_001.jpg,310889469,,A54,,712110,INTERNATIONAL WOMEN'S AIR AND SPACE MUSEUM,INTERNATIONAL WOMEN'S AIR AND SPACE MUSEUM,INTERNATIONAL WOMEN'S AIR AND SPACE MUSEUM INC,,1501 N MARGINAL RD STE 165,CLEVELAND,44114-3726,,,,,,HTTP://WWW.IWASM.ORG,4,337926,104482,1976,07,-81.68626,41.51354,1501 N MARGINAL RD STE 1,CLEVELAND,OH,44114,
8400601885,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,770072401,,A50,879599090,712110,INTERNATIONAL MUSEUM OF WOMEN,INTERNATIONAL MUSEUM OF WOMEN,INTERNATIONAL MUSEUM OF WOMEN,,235 MONTGOMERY ST FL 12,SAN FRANCISCO,94104-3115,101 HOWARD ST STE 480,SAN FRANCISCO,CA,94104-3115,94104,HTTP://WWW.IMOW.ORG,5,985698,780288,1985,09,-122.39247,37.79123,101 HOWARD ST STE 480,SAN FRANCISCO,CA,94104,
8401100122,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,450705201,,A51,,,INTERNATIONAL MUSEUM OF WOMEN,INTERNATIONAL MUSEUM OF WOMEN,INTERNATIONAL MUSEUM OF WOMEN,FOUNDATION FOR THE INTERNATIONAL MUSEUM FOR WOMEN IN,505 9TH ST NW STE,WASHINGTON,20004-2166,,,,,,,,,,,,-77.02346,38.8965,505 9TH ST NW STE,WASHINGTON,DC,20004,
8401701172,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,371390600,,A80,,712120,ILLINOIS WOMEN'S MILITARY AND CIVIL MEMORIAL,ILLINOIS WOMEN'S MILITARY AND CIVIL MEMORIAL,ILLINOIS WOMEN'S MILITARY AND CIVILIAN MEMORIAL INC,,2 DIAL COURT,NORMAL,61761-1626,,,,,,HTTP://IWMCM.ORG,0,0,0,2000,08,-88.98641,40.5193,2 DIAL CT,NORMAL,IL,61761,
8403000066,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,030605818,,,,,HIGH PLAINS WOMEN'S MUSEUM,HIGH PLAINS WOMEN'S MUSEUM,HIGH PLAINS WOMEN'S MUSEUM,,PO BOX 1604,BILLINGS,59103,207 N 28TH STREET,BILLINGS,MT,59103,59103,,,,,1933,4,-108.50661,45.78344,207 N 28TH STREET,BILLINGS,MT,59103,
8404000113,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,030540202,,A80,,712110,HALL OF FAME OF WOMEN'S OKLAHOMA GOLF ASSOCIATION,HALL OF FAME OF WOMEN'S OKLAHOMA GOLF ASSOCIATION,HALL OF FAME OF WOMEN'S OKLAHOMA GOLF ASSOCIATION,,1123 WESTWOOD DR,STILLWATER,74074-1117,,,,,,HTTP://WWW.WOGA.US/,0,0,0,2005,01,-97.13033,36.1087,1123 WESTWOOD DR,STILLWATER,OK,74074,
8401201021,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,593598654,,T70,,712110,FLORIDA MUSEUM FOR WOMEN ARTISTS,FLORIDA MUSEUM FOR WOMEN ARTISTS,FLORIDA MUSEUM FOR WOMEN ARTISTS INC,,100 N WDLND BLVD STE 1,DELAND,32720-4249,600 NORTH WOODLAND AVENUE,DELAND,FL,32720-4249,32720,HTTP://WWW.MOARTDELAND.ORG/,4,160280,138568,2000,01,-81.30421,29.03773,600 NORTH WOODLAND AVENUE,DELAND,FL,32720,
8402600990,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,386091402,,A80,,712120,DAVID HORODOKER WOMEN'S ORGANIZATION,DAVID HORODOKER WOMEN'S ORGANIZATION,DAVID HORODOKER WOMEN'S ORGANIZATION,,6945 CHIMNEY HILL DR APT 1611,W BLOOMFIELD,48322-4542,,,,,,,3,56954,56954,1998,11,-83.36517,42.53702,6945 CHIMNEY HILL DR APT,W BLOOMFIELD,MI,48322,
8400900260,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,061492895,,A50,,813410,CONNECTICUT WOMEN'S HALL OF FAME,CONNECTICUT WOMEN'S HALL OF FAME,CONNECTICUT WOMEN'S HALL OF FAME INC,,320 FITCH ST,NEW HAVEN,06515-1306,,,,,,,4,442572,442572,1997,10,-72.94979,41.33152,320 FITCH ST,NEW HAVEN,CT,06515,
8400800487,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,841042510,,A50,,712110,COLORADO WOMEN'S HALL OF FAME,COLORADO WOMEN'S HALL OF FAME,COLORADO WOMEN'S HALL OF FAME INC,,PO BOX 18849,DENVER,80218-0849,,,,,,HTTP://WWW.COGREATWOMEN.ORG/,3,27876,27876,1989,02,-104.97262,39.73441,PO BOX 18849,DENVER,CO,80218,
8400100169,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,273076166,,A82,,,CENTER POINT WOMEN'S PRESERVATION SOCIETY,CENTER POINT WOMEN'S PRESERVATION SOCIETY,CENTER POINT WOMEN'S PRESERVATION SOCIETY,,349 37TH COURT NE,CENTER POINT,35215-1423,,,,,,,0,0,0,2010,11,-86.67516,33.66709,349 37TH CT NE,CENTER POINT,AL,35215,
8400602401,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,943015670,,A50,142560494,813219,CALIFORNIA MUSEUM FOR HISTORY WOMEN AND THE ARTS,CALIFORNIA MUSEUM FOR HISTORY WOMEN AND THE ARTS,THE CALIFORNIA MUSEUM OF HISTORY WOMEN AND THE ARTS,,1020 O ST,SACRAMENTO,95814-5704,,,,,,HTTP://WWW.CALIFORNIAMUSEUM.ORG/,6,1057759,1057759,1986,12,-121.49561,38.5746,1020 O ST,SACRAMENTO,CA,95814,
8401201117,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,650091930,,A80,,813410,BROWARD COUNTY WOMEN'S HISTORY COALITION,BROWARD COUNTY WOMEN'S HISTORY COALITION,THE BROWARD COUNTY WOMEN'S HISTORY COALITION INC,,PO BOX 23663,FORT LAUDERDALE,33307-3663,1977 NE 15TH AVE,FORT LAUDERDALE,FL,33307-3663,33307,,0,0,0,2012,04,-80.12946,26.15262,1977 NE 15TH AVE,FORT LAUDERDALE,FL,33307,
8402600251,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,201277021,,A80,,624221,BATTERED WOMEN AND CHILDREN'S MEMORIAL GARDEN,BATTERED WOMEN AND CHILDREN'S MEMORIAL GARDEN,BATTERED WOMEN AND CHILDRENS MEMORIAL GARDEN,,2340 EAST STADIUM BOULEVARD SUITE 8,ANN ARBOR,48104-4823,,,,,,,0,0,0,2005,01,-83.71482,42.25997,2340 EAST STADIUM BLVD,ANN ARBOR,MI,48104,
8402200125,HSC,"Historical Societies, Historic Preservation",image/jpeg,demo_001.jpg,237125857,,A80,,,ASSOCIATION OF NATCHITOCHES WOMEN FOR THE PRESERVATION,ASSOCIATION OF NATCHITOCHES WOMEN FOR THE PRESERVATION,ASSOCIATION OF NATCHITOCHES WOMEN FOR PRESERV OF HIST NATCH,ASSOCIATION OF NATCHITOCHES WOMEN FOR PRESERV OF HIST NATCHI,PO BOX 2248,NATCHITOCHES,71457-2248,310 JEFFERSON ST,NATCHITOCHES,LA,71457-2248,71457,HTTP://WWW.MELROSEPLANTATION.ORG/APHN/,4,313208,268310,1971,09,-93.08743,31.75546,310 JEFFERSON ST,NATCHITOCHES,LA,71457,
8403700330,HST,History Museum,image/jpeg,demo_001.jpg,270760638,,A54,,712110,APPALACHIAN WOMEN'S MUSEUM,APPALACHIAN WOMEN'S MUSEUM,APPALACHIAN WOMEN'S MUSEUM INC,,PO BOX 245,DILLSBORO,28725-0245,,,,,,HTTP://WWW.APPWM.ORG/,2,22185,22185,2010,04,-83.25169,35.3699,PO BOX 245,DILLSBORO,NC,28725,
8404200424,HSC,History Museum,image/jpeg,demo_001.jpg,222837686,,A80,153984646,,AMERICAN WOMEN'S HERITAGE SOCIETY,AMERICAN WOMEN'S HERITAGE SOCIETY,AMERICAN WOMEN'S HERITAGE SOCIETY,,2000 BELMONT MANSION DR,PHILADELPHIA,19131-3713,,,,,,HTTP://WWW.BELMONTMANSION.ORG,4,123240,123240,1988,03,-75.21289,39.99183,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131,
8404800739,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,273691837,,A50,,712110,AMERICAN WOMEN WRITERS NATIONAL MUSEUM,AMERICAN WOMEN WRITERS NATIONAL MUSEUM,AMERICAN WOMEN WRITERS NATIONAL MUSEUM,,PO BOX 22365,HOUSTON,77227-7722,529 14TH STREET NW SUITE 960-C,WASHINGTON,DC,77227-7722,77227,HTTP://WWW.AMERICANWOMENWRITERSNATIONALMUSEUM.ORG,0,0,0,2011,01,-77.03187,38.89646,529 14TH STREET NW SUITE 960-C,WASHINGTON,DC,77227,
8409501305,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,,,,,,ALABAMA WOMEN'S HALL OF FAME,ALABAMA WOMEN'S HALL OF FAME,ALABAMA WOMEN'S HALL OF FAME,,302 BIBB STREET,MARION,36756,302 BIBB STREET,MARION,AL,36756,36756,,,,,1970,,-87.31662,32.63066,302 BIBB STREET,MARION,AL,36756,The AWHF was moved to the University of West Alabama in Livingston in 2022.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
